name,brand,price
Plus Asymmetrical Kelsie Velvet Dress,RACHEL RACHEL ROY, $29.00 
Cowl Neck Waffle Knit Top,Reveal Designer , $15.00 
Made In Italy Contrast Inner Plaid Hoodie,BENEDETTA B., $39.00 
Ruffle Waist Leggings,Reveal Designer , $15.00 
Made In USA Blade Leggings,BODY LANGUAGE, $15.00 
Nancy Long Journey Denim Jacket,Reveal Designer , $39.00 
Heavyweight Coat,SAM EDELMAN, $59.00 
Juniors  Ring Zip Plush Crop Jacket,ME JANE, $22.00 
Made In USA Plaid Stirrup Pants,WILLOW & CLAY, $10.00 
Solid Super Stretch Pull On Pants,DALIA, $15.00 
Fit And Flare Lace Cocktail Dress,MARISA & MARIE, $29.00 
Snake Print Lucy Pull On Leggings,SOUND STYLE, $12.00 
Juniors Red Ruffle Dress,JAPNA, $15.00 
All Over Sequin Gown,ADRIANNA PAPELL, $29.00 
Juniors Tie Neck Satin Long Sleeve Blouse,JAPNA, $10.00 
Juniors Sherpa Bonded Faux Suede Jacket,JACK BY BB DAKOTA, $29.00 
Shayla Sweater,RACHEL RACHEL ROY, $22.00 
Juniors 7 Zipper Faux Leather Jacket,JOU JOU, $22.00 
Stripe Split Hem Pants,NICOLE MILLER NEW YORK, $22.00 
Faux Suede Asymmetrical Jacket,Reveal Designer , $29.00 
Crepe Gown With Embellished Waist,KAY UNGER, $39.00 
Made In Italy Wool Blend Coat With Stand Collar,CINZIA ROCCA, $199.00 
Utility Romper,J BRAND, $39.00 
Fancy Crepe Ruffle Skirt Dress,ADRIANNA PAPELL, $29.00 
Faux Leather Overalls,DAVID LERNER, $43.00 
Sleeveless Space Dye Tank,Reveal Designer , $10.00 
Genuine Lamb Leather Jacket,BADGLEY MISCHKA, $79.00 
Plus Lace Embroidered Tulle Mermaid Gown,TADASHI SHOJI, $199.00 
Bra Tank,MONDETTA, $10.00 
La Femme Cashmere Sweater,LISA TODD, $59.00 
Juniors Quilted Faux Leather Jacket,COFFEE SHOP, $20.00 
Mid-impact Bra,Reveal Designer , $10.00 
Sparrow Jacket,Reveal Designer , $75.00 
Plus Illusion V-neck Ottoman Dress,MARINA, $29.00 
247 Sport Leggings,Reveal Designer , $15.00 
Note To Self Faux Fur Jacket,BLANK NYC, $39.00 
Juniors Quilted Faux Leather Jacket,COFFEE SHOP, $20.00 
Made In USA Dolman Sleeve Boat Neck Top,GREEN ENVELOPE, $10.00 
Unstoppable Gore Trousers,Reveal Designer , $20.00 
Plaid Knit Blazer,BOTANIQUE, $15.00 
One Shoulder Floral Embroidered Gown,CACHET, $59.00 
Plus Crepe Skirt Suit,TAHARI BY ASL, $39.00 
